"source","sha256","bytes","action","destination","reason"
"docs/article_database/00_scope.md","80b4935f113e468fe6d636660887cfd7d549a716b4c7bc113ace14f69dbef0a6","5658","adapted","00_preparation_scope.md","Retain scientific evidence; remove target-journal and stale release claims"
"docs/article_database/01_research_canon.md","3184e079d10e2ef22e9dd3e271731a1f24da46cac673b3ed9795976e834a573d","10747","adapted","01_research_facts.md","Retain scientific evidence; remove target-journal and stale release claims"
"docs/article_database/02_evidence_table.md","72e7b99598e2aca96b2b31865384a6a7df1b3d61035551460db3540ffa2339c6","8321","adapted","02_evidence_table.md","Retain scientific evidence; remove target-journal and stale release claims"
"docs/article_database/03_argument_map.md","d431fddd3e2a9b3f3b8de3d65f2ddf07946d4a6010aebfef1ef44aaeed395628","6111","extracted","00_preparation_scope.md;01_research_facts.md","Keep evidence integration and interpretation limits; drop resource-paper thesis/conclusion"
"docs/article_database/04_section_contracts.md","c977bc83a71af36f2d9351756ebdfc3ef3e78473891473d5af2e93fdc7ab0ae8","7374","excluded","","Journal-specific structure/workflow/state is not migrated"
"docs/article_database/05_style_guide.md","a2755dcaa5a65c66b90bb5a8beea13b595293d8a246900e231521e33bfeb1f1a","5822","extracted","01_research_facts.md;evidence/methods_materials.md","Keep terminology and claim boundaries; drop citation/layout and LaTeX/Word workflow rules"
"docs/article_database/缺口.md","be296365682f05a766f2d19397e383b25dfafaf1d6d4cb959af98817506b6415","35451","extracted","preparation_gaps.md;evidence/technical_validation.md;evidence/literature_map.md","Retain unresolved science/provenance/rights issues, not journal-specific submission demands"
"docs/article_database/database_journal_writing_examples.md","02b6f14b243a1116399eb6f520ea54c91939950ad9e7eea62d6bca080b0efc59","8602","excluded","","Journal-specific structure/workflow/state is not migrated"
"docs/article_database/nature_skills_workflow.md","cd73f4530a6b604021874e8b31aa67d294cc3cb708421a04ef0e309021a2f6de","24605","excluded","","Journal-specific structure/workflow/state is not migrated"
"docs/article_database/README.md","94c3e0474c1397f93aaecde456c15076936e124f2202f67fb6d3542c6b1c2fa8","1643","excluded","","Journal-specific structure/workflow/state is not migrated"
"docs/article_database/references.bib","acb7a2575b43e87435ac4d9ecbc92ba5781e573ec0252fced5d8fe34f0e89cde","8635","copied","references.bib","Journal-neutral reference or dated evidence; retain original bytes"
"docs/article_database/state.json","8694c66415f2d13ce671571294558371180f406787f4b9fbeeb615007d24b5ca","568","excluded","","Journal-specific structure/workflow/state is not migrated"
"docs/article_database/drafts/main_zh.aux","f7de31fc5b7777ac49ed459372fe376e3a46cc9e4c8f5c601dec96d99b117628","5056","excluded","","No manuscript drafts, compiled output or authoring templates requested"
"docs/article_database/drafts/main_zh.bbl","36cac1ff2d6926f81050adca0ac683888c3de7234d5b6639e677cc856106d022","4304","excluded","","No manuscript drafts, compiled output or authoring templates requested"
"docs/article_database/drafts/main_zh.blg","32c8681a6c8132159ff37efd25e3e302de9f810f15b0dc59a1797996af86ec3e","908","excluded","","No manuscript drafts, compiled output or authoring templates requested"
"docs/article_database/drafts/main_zh.fdb_latexmk","1962d512584c6e99ff83fb7f7bc4c09b143f9545841ce837470a99bf2a6aa077","14086","excluded","","No manuscript drafts, compiled output or authoring templates requested"
"docs/article_database/drafts/main_zh.fls","5322abfdc121671b4d4cb42dd0034d18c8a14058774da974243d6897babcc2cb","15957","excluded","","No manuscript drafts, compiled output or authoring templates requested"
