name,description
Acute leukemia,Acute leukemia is a type of blood cancer characterized by rapid proliferation of immature blood cells.
Lung carcinoma,Lung carcinoma is a malignant tumor of the lung.
Hemophilia A,Hemophilia A is a bleeding disorder caused by factor VIII deficiency.
Non-insulin-dependent diabetes mellitus,Non-insulin-dependent diabetes mellitus (NIDDM) is a form of diabetes mellitus.
Hyperinsulinemia,Hyperinsulinemia is a condition of excess insulin in the blood.
Maturity-onset diabetes of the young,Maturity-onset diabetes of the young (MODY) is a monogenic form of diabetes.
Haemophilia A,Haemophilia A is a bleeding disorder caused by factor VIII deficiency.
Neurinoma,Neurinoma is a benign tumor of the nerve sheath.
Glioma,Glioma is a type of tumor that occurs in the brain and spinal cord.
Neuroblastoma,Neuroblastoma is a cancer that develops from immature nerve cells.
Liposarcoma,Liposarcoma is a cancer that arises in fat cells in soft tissue.
Adrenal cortex adenocarcinoma,Adrenal cortex adenocarcinoma is a cancer of the adrenal gland's outer layer.
Cancer,Cancer is a disease characterized by uncontrolled cell growth.
B cell lymphoma,B cell lymphoma is a hematopoietic neoplasm.
Systemic lupus erythematosus,Systemic lupus erythematosus is an autoimmune disorder.
Myotonic dystrophy,Myotonic dystrophy is a genetic disorder associated with CTG repeat expansion.
Essential hypertension,Essential hypertension is high blood pressure with no identifiable secondary cause.
Muscular dystrophy,Muscular dystrophy is a group of genetic diseases causing progressive muscle weakness.
Breast cancer,Breast cancer is a malignant neoplasm of the breast.
Germ cell cancer,Germ cell cancer is a neoplasm arising from germ cells.
Infiltrating ductal carcinoma,Infiltrating ductal carcinoma is a common type of breast cancer.
Breast sarcoma,Breast sarcoma is a rare malignant tumor of the breast connective tissue.
Medullary carcinoma of the breast,Medullary carcinoma is a rare subtype of breast cancer.
Genetic disease,Genetic disorders in humans can sometimes result from Alu transposition.
Huntington disease,A neurodegenerative genetic disorder.
Neurofibromatosis 1,Neurofibromatosis 1 is a heritable disorder.
Pediatric germ cell tumors,"Germ cell tumors occurring in children, including ovarian, testicular, and extragonadal tumors."
Embryonal carcinoma,A type of germ cell tumor with embryonal carcinoma cells.
Yolk sac tumor,A type of germ cell tumor with yolk sac tumor cells.
